case_id,budget,method_id,paired_eligible,ineligibility_reason,source_terminal_status,comparator_terminal_status,delta_energy_hartree,delta_absolute_fci_error_hartree,source_parameter_count,comparator_parameter_count,reduction_parameter_count_percent,source_operators_blocks,comparator_operators_blocks,reduction_operators_blocks_percent,source_cnot_count,comparator_cnot_count,reduction_cnot_count_percent,source_cnot_depth,comparator_cnot_depth,reduction_cnot_depth_percent,source_total_depth,comparator_total_depth,reduction_total_depth_percent
beh2-3.0,HIGH,same-structure-reoptimization,True,NA,COMPLETED,COMPLETED,0.0,0.0,38,38,0.0,32,32,0.0,284,284,0.0,94,94,0.0,458,458,0.0
beh2-3.0,HIGH,structural-magnitude-pruning,True,NA,COMPLETED,COMPLETED,5.390588064813073e-08,5.390588064813073e-08,38,37,2.6315789473684212,32,31,3.125,284,275,3.1690140845070425,94,89,5.319148936170213,458,445,2.8384279475982535
beh2-3.0,HIGH,v4.1-one-shot-joint-compression,False,comparator_not_completed,COMPLETED,ALGORITHM_REJECTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
beh2-3.0,HIGH,v5-fixed-source-whitelist-no-replenishment,True,NA,COMPLETED,COMPLETED,1.4634583678230229e-07,1.4634583678230229e-07,38,34,10.526315789473685,32,30,6.25,284,266,6.338028169014085,94,85,9.574468085106384,458,426,6.986899563318778
beh2-3.0,HIGH,v5-sequential-with-rebuilding,True,NA,COMPLETED,COMPLETED,1.4634583678230229e-07,1.4634583678230229e-07,38,34,10.526315789473685,32,30,6.25,284,266,6.338028169014085,94,85,9.574468085106384,458,426,6.986899563318778
h4-1.5-known-development,LOW,same-structure-reoptimization,True,NA,COMPLETED,COMPLETED,0.0,0.0,10,10,0.0,8,8,0.0,80,80,0.0,34,34,0.0,126,126,0.0
h4-1.5-known-development,LOW,structural-magnitude-pruning,False,comparator_not_completed,COMPLETED,ALGORITHM_REJECTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
h4-1.5-known-development,LOW,v4.1-one-shot-joint-compression,False,comparator_not_completed,COMPLETED,ALGORITHM_REJECTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
h4-1.5-known-development,LOW,v5-fixed-source-whitelist-no-replenishment,False,comparator_not_completed,COMPLETED,ALGORITHM_REJECTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
h4-1.5-known-development,LOW,v5-sequential-with-rebuilding,False,comparator_not_completed,COMPLETED,ALGORITHM_REJECTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
h4-1.5-known-development,MEDIUM,same-structure-reoptimization,True,NA,COMPLETED,COMPLETED,0.0,0.0,10,10,0.0,8,8,0.0,80,80,0.0,34,34,0.0,126,126,0.0
h4-1.5-known-development,MEDIUM,structural-magnitude-pruning,False,comparator_not_completed,COMPLETED,ALGORITHM_REJECTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
h4-1.5-known-development,MEDIUM,v4.1-one-shot-joint-compression,False,comparator_not_completed,COMPLETED,ALGORITHM_REJECTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
h4-1.5-known-development,MEDIUM,v5-fixed-source-whitelist-no-replenishment,False,comparator_not_completed,COMPLETED,ALGORITHM_REJECTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
h4-1.5-known-development,MEDIUM,v5-sequential-with-rebuilding,False,comparator_not_completed,COMPLETED,ALGORITHM_REJECTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
h4-1.5-known-development,HIGH,same-structure-reoptimization,True,NA,COMPLETED,COMPLETED,0.0,0.0,10,10,0.0,8,8,0.0,80,80,0.0,34,34,0.0,126,126,0.0
h4-1.5-known-development,HIGH,structural-magnitude-pruning,False,comparator_not_completed,COMPLETED,ALGORITHM_REJECTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
h4-1.5-known-development,HIGH,v4.1-one-shot-joint-compression,False,comparator_not_completed,COMPLETED,ALGORITHM_REJECTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
h4-1.5-known-development,HIGH,v5-fixed-source-whitelist-no-replenishment,False,comparator_not_completed,COMPLETED,ALGORITHM_REJECTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
h4-1.5-known-development,HIGH,v5-sequential-with-rebuilding,False,comparator_not_completed,COMPLETED,ALGORITHM_REJECTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
